Liatháin,sciatháin
min,mit
Siún,Sign
Bad,sad
hacht,racht
shaothar,shaothrú
Féachann,féachana
Doire,nDoire
bháin,bhain
Dr,Der
going,doing
é,Á
main,min
d,h
car,clar
mb,me
Bhreatimeachta,Breatimeacht
had,hand
Nuachta,léachta
dhearadh,dearcadh
win,sin
Rua,rua
dála,mála
thóir,mhóir
DChorcai,Chorcaí
Labhartha,cathartha
Filíocht,filíocht
titfidh,dtitfidh
Seacht,leacht
bhailte,abhaile
fo,go
shaineolaí,saineolaí
ol,ow
daoibhse,daoirse
im,imo
namhaid,amhain
guí,ghuí
rabhadh,rabhaidh
siollabas,shiollabas
tinreamh,tintreach
bhfuilid,bhfuilimid
thiomáint,tiomáint
Rúbaí,Rúnaí
bliain,mbliain
Ord,Ort
sú,dú
s,v
Tig,big
Leath,Leah
sibhialta,shibhialta
Déarfainn,déarfainn
aoise,toise
Cailíní,gCailín
scil,scéil
tuismitheoir,thuismitheoirí
scríobadh,scríobh
yet,net
Cead,read
ifreann,aifreann
MT,Ma
capaill,chaill
He,we
Fiachra,Feabhra
Pé,mé
lan,fan
dá,ds
gCúirt,gcúirt
gaolta,ghaolta
in,un
T,TÁ
gceapfadh,gceapfaí
now,not
Gaeilge,Gaelige
Deiseanna,háiseanna
bhailte,bhuille
Law,Lao
Law,Lae
gcomharsana,chomharsana
íoc,foc
eis,eas
ceamara,conamara
Cholmcille,Colmcille
Christ,Chris
Cáineadh,Cuireadh
chloígh,chloig
bun,mbun
aisteach,faiteach
thugaim,thugadh
Dráma,fráma
tsiúlóid,siúlóide
gCailín,gcailín
dháiríre,ndáiríre
Dominic,Doimnic
nó,n
cc,ac
gradam,gradaim
beith,leith
Ara,úra
Dhomhanda,domhanda
olc,ola
Fál,Fás
Tone,Tony
Ca,ma
len,lón
Galway,galway
Más,rás
fear,far
yé,bé
tinn,binn
monarcha,mhonarcha
scar,scór
fhaisin,fhiáin
Mó,nó
olc,oll
bailithe,bailte
suan,séan
tógaint,tógann
scríofa,scríobh
Barry,Berry
new,news
fheiceáil,feiceáil
bhím,bím
próiseas,phróiseas
My,Mr
pholaiteoir,polaiteoir
Beirlín,idirlín
thoiligh,theifigh
cheannach,bheagnach
bhfeachtais,fheachtais
contúirtí,chontúirt
fá,fág
ionad,hionad
úir,óir
Gréigis,Gréige
chéad,mhéad
leasaithe,neadaithe
Alt,Ait
mbraitheann,bhraitheann
bord,bod
seachtó,teachta
rothaithe,cothaithe
cúrsaí,gcúrsaí
chas,chac
crainnte,crainn
aontaim,iontais
agallamh,hagallaimh
gCluichí,Cluichí
Michael,Micheál
aiste,aisce
Luimnigh,cuimhnigh
bhfuilim,bhfuilimse
dhúil,dhil
Ailgéir,piléir
yo,no
stáisiúin,stáisiún
Ina,ina
Aistríodh,aistríodh
ma,my
chailín,chéilí
cabhair,gabhail
tola,told
airíonna,Éiríonn
ochtar,nochtar
dearmad,dearúd
comhlacht,chomhlachta
Faoi,naoi
gceardchumann,ceardchumainn
tolg,tholg
thriail,bhriain
bhaint,bhain
cois,cos
fichid,fichidí
cheannairí,ceannairí
Béile,céile
Bon,Bog
en,ex
Scéimeanna,scéimeanna
Thar,Thiar
spoken,spoke
Fiontraíochta,fiontraíochta
Leigh,Léigh
théamaí,mhamaí
Ireland,ireland
Land,land
tÉirí,Éirí
bhfreagra,bhfreagraí
Film,Films
Mionúr,Mionúir
Bhunreachta,Bunreacht
bhíos,chíos
cara,mara
mhéadar,mhéad
cótaí,cónaí
Hot,not
cros,chos
tabhair,fabhar
Malairt,tagairt
Ar,Ah
nos,non
NCG,CG
Eva,Eve
tábhairne,tabhairne
folt,font
Mhr,Mór
rá,ár
Mhaca,Mhara
chailleadar,chailleadh
tha,dha
garda,arda
páirtí,bpáirtí
grád,ngrád
Baineadh,Briseadh
gleoite,cleite
céim,scéim
Tagairt,sagart
Zara,para
black,back
feidhmeannach,feidhmeannaigh
Scéalta,céadta
bóthair,fómhair
glan,lan
u,g
bas,ba
Measadh,Meangadh
aistear,baintear
crainnte,cruinne
That,Thar
Cheallaigh,Ceallaigh
teacht,teocht
faic,fair
Fanaigí,déanaigí
fholúntas,folúntas
meisce,leisce
bus,gus
Fr,er
Any,Andy
TJ,J
gealach,grafach
donas,donais
seisiúin,sheisiún
Í,a
bheolain,bheola
Bhailís,chailín
Of,cf
Ceapaim,Ceapann
Chúirte,cúirte
eir,tir
iolra,iora
buachaint,buachaill
tv,te
Goidé,goidé
Plean,Plan
Domhnach,Domhnaigh
Fómhair,fómhair
_,h
bhua,bhur
faisean,eisean
Béarlóir,Béarlóirí
Indiach,Indiana
Maoileoin,faoileáin
as,mas
Ghealach,ghealach
rud,run
tubaiste,tubaistí
cuimhniú,deimhniú
le,len
J,o
Ghéill,Ghoill
cháineadh,mhúineadh
eisigh,eirigh
Óna,Ón
Bearnaí,Bhearna
Bhál,Bhal
Q,c
Gá,Grá
bas,ban
hAon,Aon
chineál,gcineál
fheabhsú,mheabhrú
leí,lí
les,leis
Chluichí,Cluiche
now,nos
Éan,nÉan
plean,bplean
mBunscol,Bunscoil
Eachtra,fachta
bhfoirm,fhoirm
Chairde,ghaire
m,g
bhféile,bhréige
Chill,fhill
stopfaidh,seolfaidh
Chois,Cois
locha,lacha
gceantar,leantar
comhionann,comhionannas
cos,fos
baolach,caorach
mit,met
tSléibhe,Sléibhe
feiceálach,seiceálacha
Cabhair,fabhar
suíochán,níochán
éascú,éasca
fharraige,farraige
Free,free
Choirce,coirce
toscaireacht,bolscaireacht
Eaglais,eaglais
Feisirí,feisirí
Drama,Droma
S,w
feirm,feirme
aisteoirí,cainteoirí
thosach,thoradh
न,r
bhonn,bíonn
dhíospóireacht,díospóireachta
Eachtra,eachtra
fuair,fair
chúig,chúis
Bar,mar
Leag,Leat
fire,fite
hainmhithe,ainmhithe
Acmhainní,hacmhainní
eas,las
greadadh,dreapadh
tábhachtacha,thábhachtach
Lena,lena
mais,maise
fhiúntach,fiúntach
cheistiú,ceistiú
sheal,cheal
samhlaíocht,samhlaíodh
mic,muc
leanann,seasann
sheachain,sheachtain
u,eu
shóisir,chóisir
Bá,Be
phobal,pobal
Achainí,scuainí
Cine,line
Casaide,Cassidy
Lig,Liag
shrianta,rianta
Aifreann,Aifrinn
ló,ll
bíodh,mbíodh
mhárach,mhóramh
iad,siad
Conrach,sonracha
ó,d
Aww,Aw
Teicneolaíocht,theicneolaíocht
leanfaidh,seasfaidh
caill,aill
no,nos
Grianna,reanna
bhisigh,bhásaigh
san,saw
náisiún,seisiún
Tá,cá
ce,cá
dtabharfá,thabharfá
saoránach,saoránacht
seachas,seachtó
Ho,He
Feasachta,feasachta
w,v
re,ré
Díreach,dhíreach
naíonán,maíonn
bl,bi
haven,have
Deá,Des
chinntiú,chinnte
dhéanfas,dhéanta
nGardaí,Ghardaí
Do,go
Peil,peil
Cuireadh,fuineadh
tuaithe,tithe
hí,mí
inseacht,imeacht
hábhair,máthair
sruth,truth
ata,aca
Ath,Ahh
maise,muise
Daoine,daoine
Mail,fail
pháipéar,bpáipéar
eala,eagla
NÁ,Ná
Gur,Gura
colún,gcolún
Iarratas,Iarrtar
Michelle,Mitchell
dhaonna,dhaonra
De,Da
Le,he
brain,bain
es,Ós
Sath,ath
uaighe,uaigh
ro,xo
त,é
न,i
iomaire,bomaite
At,Ab
chearta,cheaptar
sos,hos
leoir,leor
Obair,obair
bradach,bhratach
Un,n
Horan,Horgan
eala,mala
Micheál,Mícheál
dress,dreas
Saol,Seol
chrainn,chlann
rós,ós
pacáilte,pacáiste
Hannon,Hanlon
bhain,bhan
Theach,Teach
Tógfaidh,Tógadh
Tom,To
Un,Una
Aird,Airt
ló,lón
Mothaím,gothaí
beagnach,bealach
groí,croí
bileoga,beoga
Mo,Mó
hí,he
Ceisteanna,deiseanna
bPort,Port
eir,ein
SS,So
fathach,fathaigh
Dhomhanda,dhomhanda
guím,guí
léann,lann
McMahon,Mahon
de,me
eir,air
iain,uain
Bille,Buille
Tigh,tigh
phaiste,phoist
Dá,Du
ana,anam
bhFianna,bhusanna
socair,sacair
chuireann,choireanna
Con,aon
Zara,cara
chomórtais,comórtais
bl,bh
cheapas,champas
ghráin,gráin
sionnach,iontach
MT,Mc
dtugadh,tógadh
bar,bad
Beachtaire,seachtaine
dtuairim,dtuigim
Dearcadh,Déarfadh
dtógfaí,dtógfadh
gá,gs
Ball,mall
adh,ad
Uachtarán,Uachtaraí
lón,lóin
muice,muide
Bayern,Bayer
púdar,húdar
plota,pláta
mada,mala
Dhufaigh,Dhálaigh
Gàidhlig,Ghàidhlig
Séan,séan
Rí,mí
treoraí,teora
w,z
Imreofar,imreofar
chásanna,fhásann
gcomharthaí,comhartha
Tuaim,Taim
Tó,To
Chogadh,choladh
bhainfidh,bhainfeadh
chruinne,choinne
huile,uile
ród,rud
FC,Fr
fánacha,fiacha
díoltais,díolaim
Baineadh,Buaileadh
cnagadh,scagadh
